run,jd_tdb,body_id,body_name,x,y,z,vx,vy,vz
coarse,2461200.500000000,1,Mercury Barycenter,-3.96531288973726526e-01,-7.54941307570995007e-02,1.18387250629883910e-03,-1.37822465888266603e-03,-2.35625064760000315e-02,-1.24439850660629896e-02
coarse,2461200.500000000,2,Venus Barycenter,-7.13052345977467250e-01,7.14421460317734847e-02,7.73356075456384101e-02,-2.96593343106500620e-03,-1.84096719343168000e-02,-8.09595670192954017e-03
coarse,2461200.500000000,3,Earth-Moon Barycenter,-2.15896673178703008e-01,-9.15353726151446057e-01,-3.96668770607229215e-01,1.65454405170317002e-02,-3.38436546789526579e-03,-1.46731138618456697e-03
coarse,2461200.500000000,4,Mars Barycenter,1.30738188433033997e+00,5.05060828814381302e-01,1.96589868240113097e-01,-4.85104240227087792e-03,1.27806402915100394e-02,5.99301515949689570e-03
coarse,2461200.500000000,5,Jupiter Barycenter,-2.79157770400774297e+00,4.07803424106046641e+00,1.81595581702779008e+00,-6.48817261988174528e-03,-3.40785345882324087e-03,-1.30274075240449693e-03
coarse,2461200.500000000,6,Saturn Barycenter,9.39045264621531217e+00,1.19755993947181394e+00,9.01859651785655442e-02,-9.76119455088573715e-04,5.09317810374493134e-03,2.14576639000535084e-03
coarse,2461200.500000000,7,Uranus Barycenter,9.32867865570668187e+00,1.56877546290727405e+01,6.73886314070824444e+00,-3.48051050506505187e-03,1.54155866457534002e-03,7.24381784806699949e-04
coarse,2461200.500000000,8,Neptune Barycenter,2.98529954912658511e+01,1.21352166451335597e+00,-2.46533751761997294e-01,-1.27354651048101593e-04,2.92019810929220998e-03,1.19842322965262905e-03
coarse,2461200.500000000,9,Pluto Barycenter,1.96559259662743813e+01,-2.60549310296356111e+01,-1.40532194417267604e+01,2.70088474840246388e-03,1.30949220344618003e-03,-4.05114547677290601e-04
coarse,2461200.500000000,10,Sun,-1.96318273687386916e-03,-4.98118159482131319e-03,-2.04017867860245301e-03,6.59117748920382712e-06,1.63511433888945209e-06,5.61441535551607376e-07
coarse,2461565.750000000,1,Mercury Barycenter,-2.79116025289752823e-01,-3.32501001226577331e-01,-1.48222367936164945e-01,1.65321596157993016e-02,-1.34977408747213347e-02,-8.92393744522616134e-03
coarse,2461565.750000000,2,Venus Barycenter,5.86596600737266161e-01,3.95473240020708161e-01,1.40983579079539123e-01,-1.18916962889105190e-02,1.46118680547783035e-02,7.32745255480954025e-03
coarse,2461565.750000000,3,Earth-Moon Barycenter,-2.13905022406008866e-01,-9.14339770341174418e-01,-3.96273950862368884e-01,1.65421384511461218e-02,-3.38298578437979660e-03,-1.46666026301396006e-03
coarse,2461565.750000000,4,Mars Barycenter,-1.53303295749517376e+00,-4.98733051604152211e-01,-1.87245607240714262e-01,5.08045430158411346e-03,-1.08878912143634144e-02,-5.13117159576673924e-03
coarse,2461565.750000000,5,Jupiter Barycenter,-4.69930390690151434e+00,2.35964636250369519e+00,1.12585375585369007e+00,-3.75774962586406013e-03,-5.77091389416562687e-03,-2.38207948302425043e-03
coarse,2461565.750000000,6,Saturn Barycenter,8.81658367639833962e+00,3.01505704451457301e+00,8.65614727735330658e-01,-2.16069107632682134e-03,4.81800507480536003e-03,2.08312412729765896e-03
coarse,2461565.750000000,7,Uranus Barycenter,8.03346869008164255e+00,1.62080992934827677e+01,6.98507652609394469e+00,-3.60869344042740467e-03,1.30601803216363302e-03,6.23033188977026244e-04
coarse,2461565.750000000,8,Neptune Barycenter,2.97843684681849936e+01,2.27896129574301076e+00,1.91264826682984779e-01,-2.48393953145223465e-04,2.91311034110251603e-03,1.19853522569067180e-03
coarse,2461565.750000000,9,Pluto Barycenter,2.06336850802880925e+01,-2.55653138163565927e+01,-1.41950200688339141e+01,2.65281498234980423e-03,1.37109124661632638e-03,-3.71407133511431596e-04
coarse,2461565.750000000,10,Sun,8.01520594900912938e-05,-3.93811368209802046e-03,-1.63627302028641463e-03,4.35035656923699833e-06,3.90579405541997935e-06,1.57956265129800189e-06
coarse,2461931.000000000,1,Mercury Barycenter,-4.47478537358631748e-03,-4.11813782754847257e-01,-2.19142262731878756e-01,2.24905833140189547e-02,1.79846991658710680e-03,-1.37039696771288082e-03
coarse,2461931.000000000,2,Venus Barycenter,-9.63746559380339179e-02,-6.61091983279339601e-01,-2.91231268689562839e-01,1.99089080879193969e-02,-2.08643152600055662e-03,-2.19846237254176305e-03
