comparison,jd_tdb,body_id,body_name,position_residual_au,position_residual_km,velocity_residual_au_per_day,velocity_residual_m_per_s
coarse_vs_tight,2461200.500000000,1,Mercury Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2461200.500000000,2,Venus Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2461200.500000000,3,Earth-Moon Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2461200.500000000,4,Mars Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2461200.500000000,5,Jupiter Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2461200.500000000,6,Saturn Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2461200.500000000,7,Uranus Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2461200.500000000,8,Neptune Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2461200.500000000,9,Pluto Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2461200.500000000,10,Sun,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2461565.750000000,1,Mercury Barycenter,3.81576078647070115e-16,5.70829688756574186e-08,2.72080745804226993e-17,4.71096067485883260e-11
coarse_vs_tight,2461565.750000000,2,Venus Barycenter,6.20633538311818279e-17,9.28454558164548838e-09,2.60208521396521064e-18,4.50539823367071029e-12
coarse_vs_tight,2461565.750000000,3,Earth-Moon Barycenter,8.32667268468867405e-17,1.24565250364527803e-08,1.85268548447951059e-18,3.20784494855246162e-12
coarse_vs_tight,2461565.750000000,4,Mars Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,8.67361737988403547e-19,1.50179941122357023e-12
coarse_vs_tight,2461565.750000000,5,Jupiter Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2461565.750000000,6,Saturn Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2461565.750000000,7,Uranus Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2461565.750000000,8,Neptune Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2461565.750000000,9,Pluto Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2461565.750000000,10,Sun,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2461931.000000000,1,Mercury Barycenter,1.24032728532341707e-16,1.85550320855494542e-08,1.05719441389076156e-17,1.83048649576380109e-11
coarse_vs_tight,2461931.000000000,2,Venus Barycenter,5.95937481406402458e-16,8.91509782887186462e-08,1.57683405939220588e-17,2.73022011264249240e-11
coarse_vs_tight,2461931.000000000,3,Earth-Moon Barycenter,2.78940082729686455e-16,4.17288424292429311e-08,5.81843942167329637e-18,1.00743767161951917e-11
coarse_vs_tight,2461931.000000000,4,Mars Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
