jd_tdb,body_id,body_name,heliocentric_position_residual_AU,heliocentric_velocity_residual_AU_per_day
2461200.5,1,Mercury Barycenter,0.0,0.0
2461200.5,2,Venus Barycenter,0.0,0.0
2461200.5,3,Earth-Moon Barycenter,0.0,0.0
2461200.5,4,Mars Barycenter,0.0,0.0
2461200.5,5,Jupiter Barycenter,0.0,0.0
2461200.5,6,Saturn Barycenter,0.0,0.0
2461200.5,7,Uranus Barycenter,0.0,0.0
2461200.5,8,Neptune Barycenter,0.0,0.0
2461200.5,9,Pluto Barycenter,0.0,0.0
2461200.5,10,Sun,0.0,0.0
2461565.75,1,Mercury Barycenter,8.195860180469902e-07,6.210638362421216e-08
2461565.75,2,Venus Barycenter,6.608495132526934e-07,1.7886976879044624e-08
2461565.75,3,Earth-Moon Barycenter,4.379642266265935e-07,7.355957170326861e-09
2461565.75,4,Mars Barycenter,2.650180940130934e-07,2.263226660035191e-09
2461565.75,5,Jupiter Barycenter,2.1636964080731752e-09,1.0180765401063105e-11
2461565.75,6,Saturn Barycenter,1.330988017608729e-09,7.808210341304851e-12
2461565.75,7,Uranus Barycenter,1.2617013038441146e-09,7.0136223331584685e-12
2461565.75,8,Neptune Barycenter,1.3788290568825265e-09,8.183078862983304e-12
2461565.75,9,Pluto Barycenter,2.1143932455712762e-09,1.2012554965482694e-11
2461565.75,10,Sun,0.0,0.0
2461931.0,1,Mercury Barycenter,1.5467508069933244e-06,1.187212093556621e-07
2461931.0,2,Venus Barycenter,1.161893150898129e-06,3.325805924287898e-08
2461931.0,3,Earth-Moon Barycenter,8.759559152088441e-07,1.4663811186982453e-08
2461931.0,4,Mars Barycenter,4.98636142448849e-07,4.833614497676367e-09
2461931.0,5,Jupiter Barycenter,7.07458361984077e-09,1.8441830541610955e-11
2461931.0,6,Saturn Barycenter,5.324916787364758e-09,1.5760181807618402e-11
2461931.0,7,Uranus Barycenter,4.454963989792976e-09,1.2203722572624953e-11
2461931.0,8,Neptune Barycenter,5.654026137820976e-09,1.6501889596221762e-11
2461931.0,9,Pluto Barycenter,8.18438901290799e-09,2.1188951907024637e-11
2461931.0,10,Sun,0.0,0.0
2462296.25,1,Mercury Barycenter,3.2660755817694974e-06,2.3038021042292188e-07
2462296.25,2,Venus Barycenter,1.9161505883561662e-06,5.3181227828512044e-08
2462296.25,3,Earth-Moon Barycenter,1.314406771069416e-06,2.1736632921038636e-08
2462296.25,4,Mars Barycenter,7.664487775746895e-07,6.681434289247091e-09
2462296.25,5,Jupiter Barycenter,1.767162572162181e-08,4.262907457245446e-11
2462296.25,6,Saturn Barycenter,1.0550307718504382e-08,1.917014662470384e-11
2462296.25,7,Uranus Barycenter,7.809281158127028e-09,1.2973705470195379e-11
2462296.25,8,Neptune Barycenter,1.1289246364662565e-08,1.8827002371864737e-11
2462296.25,9,Pluto Barycenter,1.5585044273766314e-08,2.131454324908577e-11
2462296.25,10,Sun,0.0,0.0
